n                 time=
10                5.00000000e-06
log10 relerr      log10 IerrSQ
-1.10058222e+00   -2.89434668e+00
x                 u_calc
0.00000000e+00    0.00000000e+00
1.00000000e-01    4.89913527e-01
2.00000000e-01    6.11947613e-01
3.00000000e-01    5.98646416e-01
4.00000000e-01    5.35558151e-01
5.00000000e-01    4.54154246e-01
6.00000000e-01    3.66012395e-01
7.00000000e-01    2.75391792e-01
8.00000000e-01    1.83859306e-01
9.00000000e-01    9.19913579e-02
1.00000000e+00    0.00000000e+00
